1462795662467623	676	96	3d	87	31	df	84	43777
1462795662498279	682	52	e9	69	d5	ee	1f	43886
1462795662518372	683	9d	01	2a	00	02	00	44005
1462795662526463	685	f3	d3	f2	c6	95	3c	44124
1462795662526589	686	37	cf	20	f3	61	d8	44243
1462795662546489	688	47	50	eb	57	de	c6	44362
1462795662546596	689	f3	a5	1c	eb	39	86	44481
1462795662554488	691	2f	6e	2c	d1	36	b2	44600
1462795662555475	693	39	ee	4a	d0	ea	77	44719
1462795662574432	695	30	00	37	48	79	33	44838
1462795662575425	697	25	5d	32	e3	81	2f	44957
1462795662582449	699	21	80	5a	f1	7c	0b	45076
1462795662583445	701	63	31	5d	31	c8	a9	45195
1462795662602494	703	a9	45	fd	95	9e	36	45316
1462795662603493	705	55	2a	2e	de	ba	03	45434
1462795662610431	707	7b	de	35	ca	00	a2	45555
1462795662611433	709	be	e7	21	3d	55	0e	45676
1462795662630415	711	9d	01	2a	00	02	00	45742
1462795662638466	713	f2	c6	95	3c	f4	fc	45863
1462795662638603	714	35	b3	58	fd	ba	7a	45984
1462795662638732	715	a6	d5	f5	73	c0	b0	46105
1462795662639479	717	e3	c4	c3	88	14	16	46226
1462795662666435	719	e1	9a	60	82	18	47	46347
1462795662666538	720	5d	10	80	e4	ae	d7	46468
1462795662667442	722	d2	21	0b	df	bd	9d	46589
1462795662673452	723	9d	01	2a	00	02	00	46659
1462795662694481	725	01	3b	20	27	64	04	46780
1462795662694613	726	15	a4	1e	c7	d9	5b	46901
1462795662695459	728	4b	07	fd	49	37	8f	47022
1462795662695596	729	51	f5	48	fd	b6	68	47143
1462795662722354	731	7f	03	fb	87	64	1c	47264
1462795662722495	732	51	b1	4d	e7	4b	cc	47385
1462795662724317	734	bd	a1	c7	62	aa	0f	47506
1462795662724463	735	3b	ba	52	bb	29	da	47627
1462795662724587	736	39	e5	4e	94	2d	b4	47748
1462795662750493	738	40	21	2b	a5	6a	96	47867
1462795662750617	739	e8	6d	08	b0	fb	bd	47986
1462795662752448	741	dc	00	a7	b4	a3	28	48105
1462795662752547	742	2e	1a	00	e7	0a	f2	48224
1462795662753491	744	c8	06	39	55	76	1b	48343
1462795662753596	745	42	8a	2e	95	ad	dd	48462
1462795662779460	747	9d	01	2a	00	02	00	48508
1462795662779604	748	58	d2	a7	9e	9f	96	48627
1462795662781465	750	9a	42	37	65	03	53	48746
1462795662781580	751	d5	7e	f8	7e	79	27	48865
1462795662782473	753	e5	ef	45	08	f2	b6	48986
1462795662782579	754	6b	c4	52	a9	cd	dc	49107
1462795662808511	756	04	aa	00	b6	4b	57	49228
1462795662808613	757	fc	08	99	3e	08	8d	49349
1462795662819491	760	9d	01	2a	00	02	00	49453
1462795662819644	761	b2	02	76	40	4e	c8	49574
1462795662819773	762	b1	21	38	cd	0a	01	49695
1462795662836508	764	18	98	38	c1	11	84	49816
1462795662837491	766	e5	ef	45	08	f2	b6	49937
1462795662848525	769	4c	15	44	dd	5f	4f	50058
1462795662849428	771	c3	d1	e9	f5	ab	9e	50179
1462795662864488	773	f7	c9	ff	fa	ee	45	50298
1462795662865424	775	be	d7	85	65	b0	9c	50417
1462795662876469	777	85	ad	69	0f	ac	fa	50536
1462795662876587	778	d7	03	d7	48	31	d7	50655
1462795662877474	780	f2	6e	bf	34	c9	ca	50774
1462795662892510	782	a6	f5	67	09	1d	33	50895
1462795662893523	784	ee	22	68	38	3f	3a	51016
1462795662893654	785	b0	5b	cf	d1	03	64	51137
1462795662904494	787	cf	92	5b	d8	8a	a2	51258
1462795662905452	789	a5	0b	e1	64	1f	02	51379
1462795662906445	791	59	3e	27	4e	a2	d5	51500
1462795662920434	795	9d	01	2a	00	02	00	51555
1462795662921462	797	95	3d	04	b6	69	41	51676
1462795662922470	799	71	43	29	73	fe	21	51797
1462795662932461	801	9f	b7	5b	96	a3	a1	51918
1462795662933470	803	bd	ba	36	65	0a	26	52039
1462795662934498	805	d3	bc	1e	18	ab	38	52160
1462795662949477	807	eb	c5	29	8b	09	df	52281
1462795662949577	808	ff	bc	ee	b1	e2	8e	52402
1462795662960510	810	cf	11	aa	96	b7	b0	52523
1462795662972234	812	9d	01	2a	00	02	00	52585
1462795662972385	813	ea	8e	d8	e1	c0	a8	52706
1462795662972501	814	1f	55	6b	25	65	31	52827
1462795662978499	816	2b	be	00	c1	70	12	52948
1462795662978640	817	75	af	dd	21	1e	46	53069
1462795662988557	819	73	6b	75	fe	42	53	53190
1462795663001530	821	e5	0f	50	e3	b9	31	53309
1462795663001631	822	e7	a7	67	1c	d5	24	53428
1462795663006566	824	37	95	24	16	ae	31	53547
1462795663027388	826	9d	01	2a	00	02	00	53617
1462795663027539	827	ea	08	7d	41	0f	a8	53736
1462795663027701	828	5b	e6	fd	16	44	e3	53855
1462795663029503	830	46	d3	0a	5c	91	6a	53974
1462795663055558	832	e5	0f	50	e3	b9	31	54093
1462795663057474	835	37	95	24	16	ae	31	54212
1462795663057573	837	be	57	4d	c0	d2	d4	54282
1462795663057751	838	f9	e1	05	0b	05	06	54401
1462795663083494	840	5c	7e	10	87	a4	29	54520
1462795663085479	842	61	84	e0	12	e1	53	54636
1462795663086482	844	1b	e7	1e	0a	0a	e0	54755
1462795663086634	845	5c	e8	cf	a8	fd	fd	54874
1462795663087399	847	13	e5	45	6e	66	41	54993
1462795663111539	849	c3	a3	a1	20	82	57	55112
1462795663113558	851	09	23	76	cc	e5	e1	55231
1462795663113684	852	ae	ca	1e	b8	53	7f	55350
1462795663114570	854	57	77	94	ef	70	f7	55469
